vCPU;ECU;Memory (GiB);Instance Storage (GB);Linux/UNIX Usage;
r5a.2xlarge;8;N/A;64 GiB;EBS Only;$0.532 per Hour
r5a.4xlarge;16;N/A;128 GiB;EBS Only;$1.064 per Hour
r5a.8xlarge;32;N/A;256 GiB;EBS Only;$2.128 per Hour
r5a.12xlarge;48;N/A;384 GiB;EBS Only;$3.192 per Hour
r5a.16xlarge;64;N/A;512 GiB;EBS Only;$4.256 per Hour
r5a.24xlarge;96;N/A;768 GiB;EBS Only;$6.384 per Hour
r5ad.large;2;N/A;16 GiB;1 x 75 NVMe SSD;$0.154 per Hour
r5ad.xlarge;4;N/A;32 GiB;1 x 150 NVMe SSD;$0.308 per Hour
r5ad.2xlarge;8;N/A;64 GiB;1 x 300 NVMe SSD;$0.616 per Hour
r5ad.4xlarge;16;N/A;128 GiB;2 x 300 NVMe SSD;$1.232 per Hour
r5ad.8xlarge;32;N/A;256 GiB;2 x 600 NVMe SSD;$2.464 per Hour
r5ad.12xlarge;48;N/A;384 GiB;2 x 900 NVMe SSD;$3.696 per Hour
r5ad.16xlarge;64;N/A;512 GiB;4 x 600 NVMe SSD;$4.928 per Hour
r5ad.24xlarge;96;N/A;768 GiB;4 x 900 NVMe SSD;$7.392 per Hour
r5d.large;2;10;16 GiB;1 x 75 NVMe SSD;$0.169 per Hour
r5d.xlarge;4;19;32 GiB;1 x 150 NVMe SSD;$0.338 per Hour
r5d.2xlarge;8;37;64 GiB;1 x 300 NVMe SSD;$0.676 per Hour
r5d.4xlarge;16;70;128 GiB;2 x 300 NVMe SSD;$1.352 per Hour
r5d.8xlarge;32;128;256 GiB;2 x 600 NVMe SSD;$2.704 per Hour
r5d.12xlarge;48;168;384 GiB;2 x 900 NVMe SSD;$4.056 per Hour
r5d.16xlarge;64;256;512 GiB;4 x 600 NVMe SSD;$5.408 per Hour
r5d.24xlarge;96;337;768 GiB;4 x 900 NVMe SSD;$8.112 per Hour
r5d.metal;96;347;768 GiB;4 x 900 NVMe SSD;$8.112 per Hour
r4.large;2;7;15.25 GiB;EBS Only;$0.156 per Hour
r4.xlarge;4;16;30.5 GiB;EBS Only;$0.312 per Hour
r4.2xlarge;8;31;61 GiB;EBS Only;$0.624 per Hour
r4.4xlarge;16;58;122 GiB;EBS Only;$1.248 per Hour
r4.8xlarge;32;97;244 GiB;EBS Only;$2.496 per Hour
r4.16xlarge;64;195;488 GiB;EBS Only;$4.992 per Hour
z1d.large;2;12;16 GiB;1 x 75 NVMe SSD;$0.22 per Hour
z1d.xlarge;4;23;32 GiB;1 x 150 NVMe SSD;$0.439 per Hour
z1d.2xlarge;8;45;64 GiB;1 x 300 NVMe SSD;$0.879 per Hour
z1d.3xlarge;12;75;96 GiB;1 x 450 NVMe SSD;$1.318 per Hour
z1d.6xlarge;24;116;192 GiB;1 x 900 NVMe SSD;$2.636 per Hour
z1d.12xlarge;48;235;384 GiB;2 x 900 NVMe SSD;$5.273 per Hour
z1d.metal;48;271;384 GiB;2 x 900 NVMe SSD;$5.273 per Hour
i3.large;2;8;15.25 GiB;1 x 475 NVMe SSD;$0.181 per Hour
i3.xlarge;4;16;30.5 GiB;1 x 950 NVMe SSD;$0.362 per Hour
i3.2xlarge;8;31;61 GiB;1 x 1900 NVMe SSD;$0.724 per Hour
i3.4xlarge;16;53;122 GiB;2 x 1900 NVMe SSD;$1.448 per Hour
i3.8xlarge;32;97;244 GiB;4 x 1900 NVMe SSD;$2.896 per Hour
i3.16xlarge;64;201;488 GiB;8 x 1900 NVMe SSD;$5.792 per Hour
i3en.large;2;10;16 GiB;1 x 1250 NVMe SSD;$0.263 per Hour
i3en.xlarge;4;N/A;32 GiB;1 x 2500 NVMe SSD;$0.526 per Hour
i3en.2xlarge;8;37;64 GiB;2 x 2500 NVMe SSD;$1.052 per Hour
i3en.3xlarge;12;N/A;96 GiB;1 x 7500 NVMe SSD;$1.578 per Hour
i3en.6xlarge;24;N/A;192 GiB;2 x 7500 NVMe SSD;$3.156 per Hour
i3en.12xlarge;48;168;384 GiB;4 x 7500 NVMe SSD;$6.312 per Hour
i3en.24xlarge;96;337;768 GiB;8 x 7500 NVMe SSD;$12.624 per Hour
i3en.metal;96;N/A;768 GiB;8 x 7500 NVMe SSD;$12.624 per Hour
d2.xlarge;4;14;30.5 GiB;3 x 2000 HDD;$0.772 per Hour
d2.2xlarge;8;28;61 GiB;6 x 2000 HDD;$1.544 per Hour
d2.4xlarge;16;56;122 GiB;12 x 2000 HDD;$3.087 per Hour
d2.8xlarge;36;116;244 GiB;24 x 2000 HDD;$6.174 per Hour
